text,date
"Her father is a staunch supporter of life. Although her mother was not vocal about it during her conservative husband George W. Bush s presidency, Laura Bush was an advocate of abortion and of homosexual marriage. Here she is two years after leaving the White House expressing her liberal views to Larry King:Their daughter Barbara Pierce Bush was a vocal supporter of gay marriage. She also supported Hillary Clinton in the 2016 election. Although it s probably a huge slap in the face to her father,  Barbara Pierce Bush plans to help Planned Parenthood, the federally funded (for now) baby killing business to raise money at an upcoming fundraiser. Barbara Pierce Bush, the daughter of former President George W. Bush, will headline a Planned Parenthood fundraiser next week in Texas, according to a report from the Texas Tribune.Bush is expected to be the keynote speaker at the Planned Parenthood of Greater Texas s annual Fort Worth fundraising luncheon.President Bush pushed for anti-abortion policies during his time in the White House, but his wife Laura Bush has supported legal abortion in the past.The announcement comes amid the continuing debate over federal funding for Planned Parenthood, which provides a variety of reproductive health services to women, including abortions.Barbara Bush is the CEO and co-founder of Global Health Corps and called Planned Parenthood an  exceptional organization  last year in an interview with the New York Times. Bush also attended an event for Democratic presidential candidate Hillary Clinton in Paris.   The Hill","February 17, 2017 "
"French President Emmanuel Macron has prided himself as the world s anti-Trump. He has arrogantly taken counter stances to President Donald Trump s on issues such as global warming and globalization. Ironically, he seems to have abruptly decided that his political career may benefit from associating himself with Trump, as he was caught on video jostling his way through world leaders so stand beside Trump in a G-20 group photo.Macron left his position during the family picture to place himself next to US President Donald Trump as German Chancellor Angela Merkel watched on.Starting off near the back of the G20 group Mr. Macron appeared to lose his way before an aide tried to direct him to his spot.Noticing the commotion, Angela Merkel tapped Mr. Macron on the shoulder to get his attention but the French PM was already making his way through the world leaders.Mr. Macron jostled and kissed his way to the front in an awkward reshuffle.He finally joined Trump on the far left fringe at the G20 summit leaders  group photo. This is suspiciously different behavior from the time President Macron tried to avoid President Trump and then crush his hand during a handshake.  The Telegraph","December 15, 2017 "
"This will make you sick Valerie Jarrett is as much a liar as Obama.In her  60 Minutes  interview, Valerie Jarrett partially reveals the sway and power she possesses in the Obama White House. The full disclosure of her power must wait for another time, perhaps in a  tell all  book, post Obama administration. It is clear she is very proud of her effect on the Obama presidency, its decisions, its attitudes, and its resultant force upon Constitutional boundaries and the racial injustices she perceives in America.In a surprisingly blunt  60 Minutes  interview, CBS s  This Morning  co-host Norah O Donnell took Ms. Jarrett to task on several issues. Much was revealed, much unspoken yet suggested.Ms. O Donnell opens, Rarely does one person in the White House have the influence that Valerie Jarrett has had. She holds the job title of senior advisor, but she is more than that. Now there is an understatement. Ms O Donnell continues; Jarrett has said she is involved in nearly every decision that is made including who should be Chief of Staff or who should sit on the Supreme Court. It is reasonable to add other considerations such as Attorney General appointments, Iran Nuclear deals, and transgender issues.Ms. O Donnell notes that Valerie Jarrett has at least three formal job titles, including senior advisor and best friend. Jarrett has clashed with Robert Gibbs, Rahm Emanuel, Bill Daley,  in all five chiefs of staff but only one Valerie Jarrett  remains. She has also made a commitment to push the issues she cares about. She is at the center of the administrations efforts to raise the minimum wage around the country and to expand paid parental leave. She has also pushed criminal justice reform. Jarrett offers this snippet, a peek inside the two person think tank that is Valerie and Barack. They share, a world view shaped by childhoods spent abroad. Obama s four years in Indonesia and the fact that she was born in Iran and spent five years there.She says in the interview,  That bond we had from having lived in cultures very different than our own, and how that shaped our view of the world, was a bond we had that day. One may conclude that Valerie Jarrett enjoys a unique and intrinsic input into the Obama administration s policies and actions. ","January 17, 2017 "
"Wow there are no words for the hate these people walk around with every day Check out these unbelievable tweets celebrating the murder of innocent Dallas police officers. These officers were risking their lives to protect the First Amendment Right of these pigs to express themselves And as if the vile tweets above weren t bad enough, here are a few more threats from Black Lives Matter terror members:","November 9, 2017 "
Joe Biden was at Miami Dade College speaking when he made this big mistake: ,"November 24, 2017 "
"With all of the attention on Melania and the grace, elegance, and class she s brought back to the White House, you d almost think Michelle Obama was intentionally looking for attention, after seeing some of the get ups she s been photographed in since the Obama s vacated the White House in January. The former First Lady, 53, shielded herself from the sun with shades and a black hood to enjoy a hike around the island on Thursday.She was surrounded by members of her staff tagging along for the sweat session, with members of her security team flanking her.Michelle is in Mallorca to visit American diplomat James Costos and his partner, Michael Smith.Her husband, former President Barack Obama, does not appear to have accompanied her on the international trip.The day after her hike, Michelle boarded a yacht, wearing a white crop top and a stylish wrap skirt with a bird pattern.It appears as though Mooch has a little exhibitionist in her, as she flashes more than just a little leg for the camera:Michelle was seen aboard the yacht later in the evening on Friday, enjoying time with a group of friends.The braless First Lady was seen stopping at a local restaurant during her stay on the White House designer s yacht:At one point on Friday, she changed into different clothes, and was spotted wearing a black outfit and a hat while leaving a restaurant.Both she and her husband will have a Secret Service detail for the rest of their lives, Barack having restored lifetime protection for former presidents in 2013.Costos and Smith are longtime friends of the Obamas, and have previously hosted the family several times at their residence in Palm Springs, California.Barack and Michelle jetted off to the glamorous home during their first trip out of Washington, DC on the day of President Donald Trump s inauguration in January.Smith, a designer, previously redecorated the Oval Office and the Obamas  private quarters during their time at the White House. Daily Mail ","October 30, 2017 "
"Hillary Clinton has turned down repeated requests by Barack Obama to join him in a nationwide political movement that he plans to lead against the presidency of Donald Trump. Hillary s received two phone calls from Obama and several from Valerie [Jarrett],  said a source familiar with Hillary s conversations with the outgoing president and his chief political adviser.  They ve been urging Hillary to get on board their anti-Trump campaign. They invited her to a post-Inaugural Day gathering at the mansion the Obamas have rented in D.C., where they re going to lay the groundwork for the offensive against Trump,  the source added.  Among those on the invitation list: Donna Brazile, Nancy Pelosi, and James Carville. But Hillary told Obama and Valerie that she couldn t work it into her schedule. According to the source, Hillary doesn t have much faith in Obama s leadership of an anti-Trump crusade. Obama s proved time and again that he thinks only of himself, not of his fellow Democrats,  said the source.  He s been a lousy leader of the Democratic Party and, after eight years in the White House, he s left the party in shambles. There s yet another reason Hillary doesn t want to be associated with an Obama-led movement against Trump,  the source added. Trump has indicated he s willing to let bygones be bygones as far as Hillary s email scandal and her pay-to-play involvement with the Clinton Foundation. She doesn t see any upside to pissing off Donald as he moves into the White House.   Edward Klein","October 31, 2017 "
"Tucker interviews Cathy Areu of Catalina Magazine about whether it s appropriate to call breastfeeding  natural.  This is a perfect example of why women are turned off by feminism. Trying to change what s truly natural so it will fit your gender politics is sickening to most women who aren t buying into it. Blurring the lines bit by bit when it comes to gender is what s NOT natural here Clearly, Cathy wasn t breastfed when she was a baby ","September 27, 2017 "
SHERIFF DAVID CLARKE hammered home the truth on who the protesters are at the Trump rallies: ,"October 19, 2017 "
SHARE this video everywhere. We cannot allow the leftist media to control this narrative. Our freedom and our way of life is on the line ,"September 25, 2017 "
"Most of the documents are testimonies provided to federal investigators in interviews the agents conducted with witnesses.In one of the documents, an unnamed State Department official tells the FBI that  early in Clinton s tenure as Secretary of State, she and her staff were observed removing lamps and furniture from the State Department, which were transported to her residence in Washington, D.C. The staffer did not know  whether these items were ever returned to the government upon Clinton s departure from the State Department. The Clintons were accused of taking more than $200,000 worth of furnishings and other items from the Executive Mansion after they left the White House in 2001, PolitiFact reported. They eventually returned several items due to political pressure.","November 30, 2016 "
"Gold King Mine Owner Todd Hennis says he warned the EPA for years about the mine mess, but they ignored him. ","October 9, 2017 "
"22-yr old American Otto Warmbier was arrested and imprisoned during Barack Obama s last term in office. He was released  at the direction  of President Trump. Although former President Barack Obama was unable to secure her release, after being in office for less than 4 months, President Trump was also able to secure the release of Aya Hijazi, an Egyptian-American charity worker who spent three years in an Egyptian jail over what human rights groups say were bogus charges.Otto Warmbier, the college student arrested, tried and imprisoned in North Korea for more than a year for trying to swipe a souvenir from his hotel during a guided tour of the communist nation, has been released, Secretary of State Rex Tillerson announced Tuesday.The 22-year-old Warmbier has served just over a year of his 15-year sentence   allegedly for taking down a sign of the late dictator Kim Jong Il while Warmbier was in the country with a tour group. As of Tuesday morning, Warmbier was on his way home to Cincinnati, although other details surrounding the dramatic events were not released. At the direction of the President, the Department of State has secured the release of Otto Warmbier from North Korea,  Tillerson said.  Mr. Warmbier is en route to the United States, where he will be reunited with his family. The Department of State continues to have discussions with the DPRK regarding three other U.S. citizens reported detained. Out of respect for the privacy of Mr. Warmbier and his family, we have no further comment on Mr. Warmbier. Warmbier s parents, who have appeared on Fox News Channel in the past to plead for their son s release, expressed gratitude. FOX News","September 12, 2017 "
"By now, most of America has seen the crazy video of the Las Vegas mass shooter s brother Eric Paddock. Stephen Paddock s brother Eric, defended his brother, by arguing that he was wealthy and that somehow because he was generous to him and his mother, (which he bragged about ad nauseam) that people should consider looking at his brother in a different light.Watch this compilation of Stephen Paddock s brother Eric Paddock s strangest moments during the interview:The family of the alleged mass murderer Stephen Paddock is very interesting, to say the least. Stephen s father was listed on the FBI s  Most Wanted  list, and now, it appears, there s another alleged criminal in the Paddock family.A brother of Las Vegas mass shooter Stephen Paddock was arrested in Los Angeles on Wednesday on suspicion of possessing hundreds of images of child pornography, according to authorities.Bruce Douglas Paddock, 58, was taken into custody at a nursing facility in the 5300 block of Laurel Canyon Boulevard, in the Valley Village neighborhood, and booked at 8 a.m. Television news footage showed Paddock in a wheelchair being loaded into the back of a van by Los Angeles Police Department officers.Documents filed Tuesday in Los Angeles County Superior Court outlined 20 criminal charges against Paddock, all related to possession of child pornography or the sexual exploitation of children. The felony complaint for the arrest warrant accused Paddock of having more than 600 pornographic images of children or youths, including 10 or more images showing a child younger than 12.The investigation of Paddock began after evidence was found in a Sun Valley business where he had been squatting, the LAPD said in a statement. The evidence was found after Paddock was evicted, police said.Paddock was homeless at the time and couldn t be found, the LAPD said, adding that investigations  recently  tracked him to the North Hollywood facility where he was arrested Wednesday.The LAPD released a photo of Paddock  in case there may be victims of unreported incidents,  who might see it and contact authorities, the department said.Josh Rubenstein, an LAPD spokesman, said Paddock s arrest was the result of an independent investigation by the LAPD and not related to the deadly shooting rampage in Las Vegas. The LAPD s case began before the shooting, he added. There s no connection,  he said.On the night of Oct. 1, 64-year-old Stephen Paddock fired on the crowd at a country music festival from his hotel room in Las Vegas. Paddock killed 58 people in the meticulously planned attack and wounded hundreds more before he shot and killed himself. His motivation remains a mystery, authorities say.On Wednesday, Sandra Breault, a spokeswoman for the FBI in Las Vegas, declined to comment on Bruce Paddock s arrest.Bruce Paddock was apprehended at a nursing home that offers patients long- and short-term medical care. A spokeswoman for the facility confirmed the police activity occurred there, but declined to comment on Paddock, citing patient privacy laws.The suspect is one of four brothers. Their father, Benjamin Hoskins Paddock, was a convicted bank robber who was once placed on the FBI s Most Wanted list.Bruce Paddock has had numerous run-ins with local law enforcement over the last 25 years, according to Los Angeles County criminal records.  LA Times","October 28, 2016 "
These two girls make some very good points that you re definitely not hearing in the mainstream media. They (Hillary and the State Dept.) can t see when someone s about to stab them in the eye until their eye is gone and it s taken out of the socket ,"January 16, 2017 "
Sheryl Attkisson is a fantastic journalist who s always been one to stand up for the truth. She describes an event where a DC Bureau Chief told his fellow journalists to take down Trump the guess of who this could be is Carl Bernstein  ,"June 6, 2017 "
HERE S WHAT MCCAIN SAID THAT GOT RAND PAUL ALL WORKED UP:,"May 27, 2016 "
"It clear that common sense isn t what these hens want to hear. Common sense would tell anyone that the FBI dropped the ball with the Florida shooter. watch as Meghan McCain is shut down after making the best argument for how the Florida shooting could have been avoided:Meghan McCain got cut off on  The View  Friday after telling her co-hosts that the Florida school shooter was  flagged by the FBI  and nothing happened.The comment came during a discussion about gun control following the deadly shooting Wednesday in Parkland, Florida, at Marjory Stoneman Douglas High School after a 19-year-old man opened fire at school killing 17 people, including teachers and students before being taken into custody.Daily caller reports: The argument from NRA members and Second Amendment supporters is much like abortion. Not a lot of trust on both sides for compromise,  McCain explained.  I m like okay, we can talk about assault weapons. That being said, I know people who own them who obviously aren t mass murderers. They re hunters and use they them for target practice and hunting. And it s like if you give a mouse a cookie then we are going to go to..it s a slippery slope going forward. Much like abortion, It s so emotional on both sides, I think it s hard for people on both sides to have faith that we can meet in the middle. With all due respect you didn t grow up in gun country,  McCain explained.A short time later, McCain said no one is in support of people with mental illness having guns and that this shooter was flagged by the FBI and  still nothing happened. ","November 13, 2017 "
"The Defense Department secretly set up a program ten years ago to investigate unidentified flying objects, or UFOs, at the urging of then-Democratic Senate Majority Leader Harry Reid, according to new reports.Both The New York Times and the website Politico published stories Saturday revealing the existence of the Pentagon s now-defunct Advanced Aerospace Threat Identification Program.The New York Times said the UFO program began in 2007, while Politico reported in began in 2009.According to the reports, Reid, a Nevada Democrat, helped steer money under the program to a donor s aerospace research company.A Pentagon spokesman said the UFO program ended in 2012, though The New York Times said the Defense Department still investigates potential episodes of unidentified flying objects. The Advanced Aviation Threat Identification Program ended in the 2012 timeframe,  Pentagon spokeswoman Dana White told Politico.  It was determined that there were other, higher-priority issues that merited funding and it was in the best interest of the DoD to make a change. White added:  The DoD takes seriously all threats and potential threats to our people, our assets, and our mission and takes action whenever credible information is developed. Politico said the program was not classified but few officials knew about it. Reid secured the funding for the program in 2009 with the help of former Hawaii Democratic Sen. Daniel Inouye and former Alaska Sen. Ted Stevens, who have both since died.Both outlets said Reid s interest in UFOs was the result of friend, and donor Bob Bigelow, who owns Bigelow Aerospace and has said before he is  absolutely convinced  aliens exist and UFOs have visited Earth.The New York Times said the program had a $22 million annual budget and  most of the money  went to Bigelow s research company, which hired subcontractors and solicited research for the program. I m not embarrassed or ashamed or sorry I got this thing going,  Reid told the newspaper.  I think it s one of the good things I did in my congressional service. I ve done something that no one has done before. Both outlets said the person who ran the program, Luis Elizondo, resigned in October and complained about a lack of interest from top officials about it.   FOX News","November 14, 2017 "
"The women in this video are serious minded voters. They are moms who fear for the safety of their children and grandchildren. They speak for so many of us who are sick and tired of living under a government who puts the safety and security of our nation after political correctness.We are living in perilous times, and it s comforting to know that there are so many female voters who believe our nation s security should take priority over the genitalia of our next President. There s more to choosing a leader of the greatest nation on earth than the abortion issue. It won t matter if you can take the life of an innocent child in your womb up to the moment of conception if you re living under an oppressive Sharia Law or under Communist rule.Here s a newsflash for our media and the Femi-Nazi s who would go into a polling place and vote for Hillary simply because she s a woman: Russia, Iran, North Korea, Saudi Arabia and China don t care if our next President is pro-abortion or if she has a vagina ","June 21, 2017 "
"Democrat presidential candidate Hillary Clinton was busy telling a story about how, in her view, Republicans don t tell the truth and recalled an old radio ad she had heard while living in in Arkansas. That prompted Clinton to start barking like a dog. The campaign trail must be taking its toll  ","April 5, 2016 "
" The fact of the matter is Kenya and the U.S. share so many values: common love for democracy, entrepreneurship, value for families   these are some things that we share,  Kenyatta said.  But there are some things that we must admit we don t share. Our culture, our societies don t accept.  ","September 11, 2017 "
"Virginia resident Ruddad Abdulgader, a 19-year-old Sudanese native and Muslim, responsible for an Oct. 3 bias-motivated assault of a Georgetown medical student was sentenced to 35 months in prison by D.C. Superior Court last Friday.On Oct. 3, the medical student, who has remained anonymous due to the nature of his assault, was attacked by two men as he walked along the Chesapeake and Ohio Canal path in the early hours of the morning. The assailants shouted homophobic slurs at him and hit him in the face with a vodka bottle, rendering the victim unconscious.The Virginia resident Ruddad Abdulgader pleaded guilty on two felony counts on Nov. 12, 2008. According to a Department of Justice press release, he was sentenced Friday to 30 months of jail time for felony assault with a bias intent and five months for possession of a prohibited weapon. Due to immigration laws, Abdulgader may face deportation to Sudan.Under D.C. law, Abdulgader could have received a maximum four-and-a-half year sentence for felony assault with bias intent. In addition to being incarcerated, Abdulgader must compensate the victim for his out-of-pocket medical costs.Abdulgader s accomplice, Saad Elorch, a Moroccan native was also intially charged with the bias-assault, however the U.S. Attorney s office dropped the charge after Abdulgader admitted that he was the only one who physically assaulted the victim. Elorch pleaded not guilty to misdemeanor charges of assaulting and threatening a police officer.  The HoyaWe are unable to determine if either of these men were ever deported. We ll update this story if more information becomes available.","June 28, 2017 "
"Progressive hero Alan Grayson is best known as the member of congress who has introduced more legislation than any other. He s remembered for his statements on the GOP s lack of a plan for health insurance, stating  their plan is, if you get sick, you die.  He s also well-known for comparing the Tea Party to the KKK.From the outside, Grayson is a true American success story. Born in the Bronx, Grayson managed to make his way through Harvard Law, becoming a multi-millionaire as a trial lawyer. On the inside, however, some serious questions have arisen.A House Ethics Committee investigation is underway looking into a trio of hedge funds operated by Grayson that may have broken several rules for second-source income, use of congressional staffers for private enterprise and misuse of government travel expenses. Two of the hedge funds, that have since been closed, were located in the Cayman Islands, and one in the US.As a United States Congressman, Grayson is forbidden from earning more than $27,500 from a second source. While he states he had no taxable income from the funds during his time as a congressman, which include terms from 2009-2011 and 2013 to present. Grayson started the funds in 2012 while not serving, but kept them open when he won reelection for 2013. The question of his income comes because he was still listed as a manager of the fund, which typically comes with a price tag.Emails from Grayson s staff, as well as income disclosures, show that at least one of his staffers appeared to be employed by the fund and the congressman at the same time. Though the earnings were as light as $1K per month, there are still clear ethics violations that have to be investigated.Evidence also shows that Grayson has used taxpayer funds to manage the fund from abroad and possibly to solicit new investors to the fund, a charge he vehemently denies. While on a trip to Tampa to present a proposal for increases to social security in August 2015, Grayson reportedly scuttled his agenda to manage the hedge fund as markets bottomed out across the globe because of turmoil in China.What this all spells is big trouble for Alan Grayson. He s convinced that the DNC is working against him in a bid to see another Democrat elected to the senate seat being vacated by Marco Rubio. Unfortunately, the most disturbing news about Grayson and his hedge fund comes from his own brochures and admissions, where he asserts that the philosophy of the fund is to invest in low-cost markets where political turmoil, civil unrest, war, famine and  blood in the streets  offers unique opportunities when the area rebuilds.His funds have all but failed, and his investors have all been paid back what they have lost, making him quite possibly the most decent of congressional rule-breakers, but a rule breaker nonetheless.","January 24, 2017 "
"9-11 is a distant memory for liberals George Washington University has hired a former Islamic extremist to work at its center on homeland security   a man who once denounced the United States and made threats against the creators of the TV series  South Park  for depicting the Prophet Muhammad in a bear suit.While reformed extremists have worked at universities in Europe to help fight terrorism, this is believed to be a first in the United States.Jesse Morton, who was known as Younus Abdullah Muhammad when he was a recruiter for the al-Qaeda, brings a  unique perspective  to counter-terrorism work, said Seamus Hughes, deputy director of the Program on Extremism at George Washington University s Center for Cyber & Homeland Security .Watch Younus Abdullah Muhammad here:During his days as an extremist, Morton earned a master s degree in international affairs from Columbia University.Hughes said before making the hiring decision, he discussed Morton with the FBI, leaders in the security community and the lawyers that prosecuted Morton.He said he s sure Morton is completely reformed from the days he served time in federal prison after inciting people to join a terrorist organization. I trust him,  he said.  We did our due diligence. Nadia Oweidat, a fellow at the think tank New America who s interviewed dozens of former extremists, said she doesn t doubt Morton s sincerity. People go through phases. They evolve and are finally able to see the light,  she said.She doesn t think Morton made up his de-radicalization to get a shorter prison sentence. When an extremist defects, they risk being completely targeted by their community   it s like saying you re gay publicly,  she said.  There are life-altering consequences and you don t approach it lightly. She said other organizations should also recruit former extremists in the hopes of preventing future massacres such as the San Bernardino shooting or the November terror attack in Paris, both committed by radicalized Islamists.   CNN","June 3, 2017 "
" We have not observed the principles and ideals upon which this country was founded. Obama makes sure to let everyone know  Americans never makes a claim about being perfect, we do make a claim about being open to  change.' We re pretty sure every communist and socialist in the room would approve of Obama s version of  change. h/t red flag news","March 9, 2016 "
"An owner of a propane dealership in Maine is refusing to deliver gas to anyone who voted for President-Elect Donald Trump.Michael Turner, owner of Turner LP Gas in Skowhegan, Maine, recorded a voicemail greeting that leaves little question as to his feelings for those in his community who supported Trump. Thank you for calling Turner LP Gas. If you voted for Donald Trump for president, I will no longer be delivering your gas   please find someone else,  the message states.Turner isn t the first person to refuse to do business with Trump voters   in late November, Mathew Blanchfield, CEO of an Albuquerque, New Mexico-based marketing firm, issued a statement saying he would no longer work with Trump supporters.But unlike Blanchfield, who lives in a county that voted solidly for Hillary Clinton, Turner lives in a county that overwhelmingly supported Trump. Trump won Somerset County, Maine   in which Skowhegan is located   57.73 percent to Hillary Clinton s 35 percent.In Skowhegan specifically, where Clinton performed better than Somerset County at large, Trump still received over 50 percent of the vote and had a 10-point lead on Clinton, according to rough figures published on Skowhegan s town website. Turner is apparently so distraught over Trump s win he is willing alienate more than half of his community and possibly sacrifice his livelihood.  Lifezette","May 11, 2016 "
"Just think how Trump s polling numbers would look if the media wasn t beating the anti-Trump drum 24/7 and if Hillary was forced to talk to reporters about the rash of new evidence uncovered by conservative media over the past two weeks Ipsos is a top-ranked polling firm   and it is producing a series of state polls showing Donald Trump doing dramatically better than the polls by other trusted polling firms. Those Ipsos state polls show Trump clinching leads in New Hampshire, Wisconsin, Michigan, and Maine.That s really big because President Barack Obama won all those states in 2012. Obama won Wisconsin by 6.7 points, Michigan by 9.5 points, Maine by 15.1 points, and New Hampshire by 5.8 points.The firm s accumulation of state polls, however, still leaves Clinton far ahead of Trump in total electoral votes.The likely difference between Ipsos   which conducts polling for the Reuters news service   and the many other polling firms is their turnout prediction for November. Winning the White House depends as much on who comes out to vote as which candidate Americans prefer. Each week, we poll more than 15,000 people, then factor in likely turnout among key demographics to see how voting would play out in the Electoral College,  according to Ipsos. Currently, Reuters/Ipsos estimates overall turnout at around 60%, although that rate varies among different demographic groups. Minority turnout, for example, is expected to be about 43%, while about 59% of African-American women and 69% of White men are projected to cast ballots,  according to a site run by Reuters and Ipsos.  Breitbart ","December 13, 2017 "
"HERE S A FIRSTHAND ACCOUNT OF SOMEONE WHO ATTENDED THE TRUMP RALLY LAST NIGHT:I voted in my first election in 1996 straight R ticket for Dole. In 2000, I understood the uniparty and supported, donated and voted for Patrick J. Buchanan because he was a great man and the uniparty sold out the United States on immigration, trade and foreign policy. Since this time I have been an America First Nationalist.I have not cast a single vote since and totally gave up following politics until I happened to turn on Faux and see Donald speaking at Laredo in early July. I knew his views on trade and foreign policy and seeing him come out strongly on immigration sealed the deal. I have watched nearly every rally since and been totally engaged like all of you for this great journey. Now on to today s rally.My mom and I arrived at noon and the lines were beginning to form. There was a mix of young and old, rich and poor, blue collar and white collar. There were many, many blue collar and union former democrats who were 100% supporting Trump, understood the Nationalism vs. Globalism war and everything discussed on this site. I also talked to several Middle Eastern UIC students who supported Donald and shared the sentiments expressed on this site.A busload of police were dropped off to begin duty and we all applauded and cheered them. As they filed past, you could see them smiling and appreciating our support. There were only a handful of thugs across the street at this time, and we, in unison chanted  Trump, Trump, Trump ,  Build that Wall ,  Blue lives matter , etc. We were a vocal and united front against the Marxist filth.When we went inside my mother and I were able to get on the floor about ten feet away from the podium. I met a woman who has read the Treehouse since the Zimmerman case, a lawyer all-in for Trump who was a Milton Friedman advocate, and other wonderful people. There were many young people and some families.We began noticing some obvious BLM thugs and Bernie type people (maybe about 15-20) behind us. We spread the word to those around us, so everyone knew. Periodically, we all did pro Trump chants and were anxiously awaiting our President. Several times the crowd erupted as protesters were carted out behind us on the floor as we chanted  Build that Wall  or another patriotic chant.Around 7 pm, an announcer came to the stage and said the rally was cancelled. The trash behind us unfurled anti-white, pro illegal alien signs and shirts with anti-white slurs. We all began calling them scumbags and taping them. They tried chanting, but we drowned them out. They were basically pushed to the back of the floor area. A taller, well dressed man single handedly ripped a banner from the hands of five Bernouts.At this point, we could see that a large contingent of Marxists were filling the back end seats of the arena. Some unveiled Bernie signs and chanted  Bernie), but they were once again drowned out by proud Nationalists. We advanced all the way to the back of the arena. Someone supportive of Trump took to the podium and led us in chants of  USA, USA . We were strong, loud, proud and infuriated.Then a black thug tried taking the microphone but was restrained and shoved away by two campaign people. He tried throwing punches at someone in the stands and a middle aged white working class guy knocked him to the floor. The State Police and Chicago cops arrived and walked down the stairs as an announcement for everyone to leave played.The protesters were ignorant, vulgar, vile scum who were insulting Trump people as we left, but we gave it back in spades in unity and strength. Outside was a huge mob of BLM, communists, Bernouts, illegal aliens and other assorted scum. In the parking deck, I met three college kids who understood cultural marxism and told me about the indoctrination of white guilt in our schools today. One thing was certain, everyone there was even more united and energized in their support for Donald and in despise for the leftist scum who took away our right of assembly and free speech.As we pulled out of the parking garage, we ran a gauntlet of anti-white, anti-American trash cursing us, flipping us off and calling us racists. All I can tell you is that my mom said she had not seen anything so disgusting since the King riots in Joliet in 1968.Folks, I think Nationalism is out of the bag, its here to stay and the marxists wll soon be on the run. The whole world can see that we have lost our right to assemble peacefully and stand up for our nation.The Silent Majority is silent no more and we are going straight to the White House.VIA: TCT","September 24, 2017 "
"Maybe Donald would change his opinion about this important issue if his home was threatened by an overreaching government I think eminent domain for massive projects, for instance you are going to create thousands of jobs and you have somebody who is in the way, and you pay that person far more. Don t forget, eminent domain, they get a lot of money. And you need a house in a certain location because you are going to build this massive development that is going to employ thousands of people, I think eminent domain is fine. It s called economic development. ","February 9, 2016 "
"We mentioned in an article yesterday that the real objective behind this recount effort is probably not to find voter fraud, but to strip Trump of the electoral votes in the traditionally blue, must-win states of PA, WI, and MI. If these state are in the process of a recount effort, Trump cannot use their electoral votes in the final tally. A Republican majority Congress would then have to vote to allow Trump to use the votes. The hope is likely that this action would throw Trump s presidency into question with voters, thus setting him up as an illegitimate President in the minds of American citizens. The good news is, the possiblity of a recount in the state of Pennsylvania with 20 electoral votes, is not looking too good for Hillary right now Jill Stein s Hillary Clinton s effort to recount presidential votes in three swing states already appears to be sputtering in Philadelphia.While Stein, a former presidential candidate, has raised millions of dollars and filed for a recount in Wisconsin, the process in Pennsylvania is much more complicated. Candidates cannot file for a recount themselves. Instead, they either have to go to court and attempt to prove widespread voter fraud (there s no evidence of that at this point) or organize a voter-initiated recount effort.Stein s team is going for the latter, asking for thousands of volunteers across Pennsylvania to mobilize. For a voting division   also known as a precinct   to be recounted, three voters from that division must sign and file an affidavit.As of noon Monday, the Philadelphia city Board of Elections had received petitions for 35 of the 1,686 voting divisions in Philadelphia, according to City Commissioner Al Schmidt. He s spoken with organizers who expect another 15 to be filed. That means that only about 50 of the 1,686 voting divisions in Philadelphia, or about 3 percent, would be recounted as a part of Stein s effort.Stein needed more than 5,000 people in Philadelphia alone to sign petitions to file for a recount and would have had to mobilize about 30,000 people statewide to get a full recount going in Pennsylvania. She contends that though her campaign is targeting recounts in Wisconsin, Pennsylvania and Michigan, it is not coordinating with the campaign of Hillary Clinton, who lost all three of those states to President-elect Donald Trump. The Green Party candidate has so far raised nearly $7 million to spearhead the recount.Wanda Murren, a spokeswoman for the Pennsylvania Department of State, said in a statement Monday afternoon that the state is  working to gather information from the 67 counties regarding their progress in certifying election returns.  She said some counties have already certified their elections, therefore closing the five-day window to petition at the county level for a recount.The deadline for voters to file for a recount is the end of the day today.Meanwhile, officials in Allegheny County have said they will delay certifying their election results as activists are filing petitions seeking a recount.   BillyPenn","September 29, 2017 "
